SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1002	550	550
2030	1536	1536
3231	2734	2734
4252	3753	3753
5309	4819	4819
6366	5876	5876
7423	6933	6933
8480	7990	7990
9537	9047	9047
10594	10104	10104
11651	11161	11161
12708	12218	12218
13766	13275	13275
14823	14332	14332
15880	15389	15389
16937	16446	16446
17994	17503	17503
19051	18560	18560
20108	19617	19617
21165	20674	20674
22222	21731	21731
23279	22788	22788
24336	23845	23845
25393	24902	24902
26450	25959	25959
27507	27016	27016
28564	28073	28073
29621	29130	29130
30678	30187	30187
31735	31244	31244
32792	32301	32301
33849	33358	33358
34906	34415	34415
35963	35472	35472
37020	36529	36529
38077	37515	37522
39134	38072	38072
40191	38554	38554
41248	39035	39035
42305	38991	38991
43362	38711	38711
44419	38656	38656
45476	38656	38656
46533	38656	38656
47590	38656	38656
48647	38656	38656
49704	38656	38656
50761	38656	38656
51818	38656	38656
52875	38656	38656
53932	38656	38656
54989	38656	38656
56046	38656	38656
57103	38656	38656
58160	38656	38656
59217	38656	38656
60274	38656	38656
61331	38656	38656
62388	38656	38656
63445	38656	38656
64502	38656	38656
65559	38656	38656
66616	38656	38656
67673	38656	38656
68730	38656	38656
69787	38656	38656
70844	38656	38656
71901	38656	38656
72958	38656	38656
74015	38656	38656
75072	38656	38656
76129	38656	38656
77186	38656	38656
78243	38656	38656
79300	38656	38656
80357	38656	38656
81414	38656	38656
82471	38656	38656
83528	38656	38656
84585	38656	38656
85642	38656	38656
86699	38656	38656
87756	38656	38656
88813	38656	38656
89871	38656	38656
90928	38656	38656
91985	38656	38656
93042	38656	38656
94099	38656	38656
95156	38656	38656
96213	38656	38656
97270	38656	38656
98327	38656	38656
99384	38656	38656
100441	38656	38656
101498	38656	38656
102555	38656	38656
103612	38656	38656
104669	38656	38656
105726	38656	38656
106783	38656	38656
107840	38656	38656
108897	38656	38656
109954	38656	38656
111011	38656	38656
112068	38656	38656
113125	38656	38656
114182	38656	38656
115239	38656	38656
116296	38656	38656
117322	38654	38654
118325	38410	38410
119353	37671	37671
120381	36811	36811
121408	35952	35952
122436	35092	35092
123464	34232	34232
124492	33373	33373
125520	32513	32513
126548	31653	31653
127576	30794	30794
128604	29934	29934
129632	29075	29075
130660	28215	28215
131687	27355	27355
132715	26496	26496
133743	25636	25636
134771	24776	24776
135799	23917	23917
136827	23057	23057
137855	22198	22198
138883	21369	21369
139892	21068	21068
140949	21372	21372
142006	21854	21854
143063	22335	22335
144120	22817	22817
145177	23298	23298
146234	23779	23779
147291	24261	24261
148348	24742	24742
149405	25223	25223
150462	25705	25705
151519	26186	26186
152576	26668	26668
153633	27149	27149
154690	27630	27630
155747	28112	28112
156804	28593	28593
157861	29075	29075
158918	29556	29556
159975	30037	30037
161032	30519	30519
162089	31000	31000
163146	31482	31482
164203	31963	31963
165260	32444	32444
166317	32926	32926
167374	33407	33407
168431	33889	33889
169488	34370	34370
170545	34851	34851
171602	35333	35333
172659	35814	35814
173716	36295	36295
174773	36777	36777
175830	37258	37258
176887	37740	37740
177945	38213	38213
179002	38604	38604
180059	38656	38656
181116	38656	38656
182173	38656	38656
183230	38656	38656
184287	38656	38656
185344	38656	38656
186401	38656	38656
187458	38656	38656
188515	38656	38656
189572	38656	38656
190629	38656	38656
191686	38656	38656
192743	38656	38656
193800	38656	38656
194838	38275	38275
195866	37435	37435
196894	36576	36576
197922	35716	35716
198950	34856	34856
199978	33997	33997
201005	33137	33137
202033	32278	32278
203061	31418	31418
204089	30558	30558
205117	29699	29699
206145	28839	28839
207173	27979	27979
208201	27120	27120
209229	26260	26260
210257	25401	25401
211284	24541	24541
212312	23681	23681
213340	22822	22822
214368	21962	21962
215396	21187	21187
216429	21179	21179
217486	21642	21642
218543	22124	22124
219600	22605	22605
220657	23086	23086
221714	23568	23568
222771	24049	24049
223828	24531	24531
224885	25012	25012
225942	25493	25493
226999	25975	25975
228056	26456	26456
229113	26938	26938
230170	27419	27419
231227	27900	27900
232284	28382	28382
233341	28863	28863
234398	29345	29345
235455	29826	29826
236512	30307	30307
237569	30789	30789
238626	31270	31270
239683	31751	31751
240740	32233	32233
241797	32714	32714
242854	33196	33196
243911	33677	33677
244968	34158	34158
246025	34640	34640
247082	35121	35121
248139	35603	35603
249196	36084	36084
250253	36565	36565
251310	37047	37047
252367	37528	37528
253424	38010	38010
254481	38458	38458
255538	38656	38656
256595	38656	38656
257652	38656	38656
258709	38656	38656
259766	38656	38656
260823	38656	38656
261880	38656	38656
262937	38656	38656
263994	38656	38656
265051	38656	38656
266108	38656	38656
267165	38656	38656
268222	38656	38656
269279	38656	38656
270299	38514	38514
271327	37795	37795
272355	36935	36935
273383	36075	36075
274411	35216	35216
275439	34356	34356
276467	33497	33497
277495	32637	32637
278523	31777	31777
279551	30918	30918
280578	30058	30058
281606	29198	29198
282634	28339	28339
283662	27479	27479
284690	26620	26620
285718	25760	25760
286746	24900	24900
287774	24041	24041
288802	23181	23181
289830	22321	22321
290857	21462	21462
291865	21060	21060
292922	21412	21412
293979	21893	21893
295036	22375	22375
296093	22856	22856
297150	23337	23337
298207	23819	23819
299264	24300	24300
300321	24782	24782
301378	25263	25263
302435	25744	25744
303492	26226	26226
304549	26707	26707
305606	27189	27189
306663	27670	27670
307720	28151	28151
308777	28633	28633
309834	29114	29114
310891	29596	29596
311948	30077	30077
313005	30558	30558
314062	31040	31040
315119	31521	31521
316176	32003	32003
317233	32484	32484
318290	32965	32965
319347	33447	33447
320405	33928	33928
321462	34409	34409
322519	34891	34891
323576	35372	35372
324633	35854	35854
325690	36335	36335
326747	36816	36816
327804	37298	37298
328861	37779	37779
329918	38261	38261
330975	38631	38631
332032	38656	38656
333089	38656	38656
334146	38656	38656
335203	38656	38656
336260	38656	38656
337317	38656	38656
338374	38656	38656
339431	38656	38656
340488	38656	38656
341545	38656	38656
342602	38656	38656
343659	38656	38656
344716	38656	38656
345723	38625	38625
346751	38083	38083
347779	37224	37224
348806	36364	36364
349834	35505	35505
350862	34645	34645
351890	33785	33785
352918	32926	32926
353946	32066	32066
354974	31206	31206
356002	30347	30347
357030	29487	29487
358058	28628	28628
359085	27768	27768
360113	26908	26908
361141	26049	26049
362169	25189	25189
363197	24329	24329
364225	23470	23470
365253	22610	22610
366281	21751	21751
367302	21103	21103
368310	21190	21190
369367	21653	21653
370424	22134	22134
371481	22615	22615
372538	23097	23097
373595	23578	23578
374652	24060	24060
375710	24541	24541
376767	25022	25022
377824	25504	25504
378881	25985	25985
379938	26467	26467
380995	26948	26948
382052	27429	27429
383109	27911	27911
384166	28392	28392
385223	28873	28873
386280	29355	29355
387337	29836	29836
388394	30318	30318
389451	30799	30799
390508	31280	31280
391565	31762	31762
392622	32243	32243
393679	32725	32725
394736	33206	33206
395793	33687	33687
396850	34169	34169
397907	34650	34650
398964	35132	35132
400021	35613	35613
401078	36094	36094
402135	36576	36576
403192	37057	37057
404249	37538	37538
405306	38020	38020
406363	38457	38457
407420	38656	38656
408477	38656	38656
409534	38656	38656
410591	38656	38656
411648	38656	38656
412705	38656	38656
413762	38656	38656
414819	38656	38656
415876	38656	38656
416933	38656	38656
417990	38656	38656
419047	38656	38656
420104	38656	38656
421161	38656	38656
422198	38482	38482
423226	37736	37736
424254	36877	36877
425282	36017	36017
426310	35157	35157
427338	34298	34298
428366	33438	33438
429394	32578	32578
430422	31719	31719
431449	30859	30859
432477	30000	30000
433505	29140	29140
434533	28280	28280
435561	27421	27421
436589	26561	26561
437617	25701	25701
438645	24842	24842
439673	23982	23982
440701	23123	23123
441728	22263	22263
442756	21407	21407
443798	21067	21067
444855	21446	21446
445912	21928	21928
446969	22409	22409
448026	22890	22890
449083	23372	23372
450140	23853	23853
451198	24335	24335
452255	24816	24816
453312	25297	25297
454369	25779	25779
455426	26260	26260
456483	26742	26742
457540	27223	27223
458597	27704	27704
459654	28186	28186
460711	28667	28667
461768	29149	29149
462825	29630	29630
463882	30111	30111
464939	30593	30593
465996	31074	31074
467053	31556	31556
468110	32037	32037
469167	32518	32518
470224	33000	33000
471281	33481	33481
472338	33962	33962
473395	34444	34444
474452	34925	34925
475509	35407	35407
476566	35888	35888
477623	36369	36369
478680	36851	36851
479737	37332	37332
480794	37814	37814
481851	38295	38295
482908	38641	38641
483965	38656	38656
485022	38656	38656
486079	38656	38656
487136	38656	38656
488193	38656	38656
489250	38656	38656
490307	38656	38656
491364	38656	38656
492421	38656	38656
493478	38656	38656
494535	38656	38656
495592	38656	38656
496649	38656	38656
497706	38656	38656
498763	38656	38656
499789	38643	38643
500821	38181	38181
501848	37322	37322
502876	36462	36462
503904	35603	35603
504932	34743	34743
505960	33883	33883
506988	33024	33024
508016	32164	32164
509044	31304	31304
510072	30445	30445
511100	29585	29585
512127	28726	28726
513155	27866	27866
514183	27006	27006
515211	26147	26147
516239	25287	25287
517267	24427	24427
518295	23568	23568
519323	22708	22708
520351	21849	21849
521379	21136	21136
522413	21233	21233
523470	21685	21685
524527	22167	22167
525584	22648	22648
526641	23129	23129
527698	23611	23611
528755	24092	24092
529812	24574	24574
530869	25055	25055
531926	25536	25536
532983	26018	26018
534040	26499	26499
535097	26981	26981
536154	27462	27462
537211	27943	27943
538268	28425	28425
539325	28906	28906
540382	29387	29387
541439	29869	29869
542496	30350	30350
543553	30832	30832
544610	31313	31313
545667	31794	31794
546724	32276	32276
547781	32757	32757
548838	33239	33239
549895	33720	33720
550952	34201	34201
552009	34683	34683
553066	35164	35164
554123	35646	35646
555180	36127	36127
556237	36608	36608
557294	37090	37090
558351	37571	37571
559408	38053	38053
560465	38475	38475
561522	38653	38653
562579	38656	38656
563636	38656	38656
564693	38656	38656
565750	38656	38656
566807	38656	38656
567864	38656	38656
568921	38656	38656
569978	38656	38656
571035	38656	38656
572093	38656	38656
573150	38656	38656
574207	38656	38656
575248	38655	38655
576270	38439	38439
577298	37705	37705
578326	36846	36846
579353	35986	35986
580381	35126	35126
581409	34267	34267
582437	33407	33407
583465	32547	32547
584493	31688	31688
585521	30828	30828
586549	29969	29969
587577	29109	29109
588605	28249	28249
589632	27390	27390
590660	26530	26530
591688	25670	25670
592716	24811	24811
593744	23951	23951
594772	23092	23092
595800	22232	22232
596828	21396	21396
597849	21052	21052
598906	21343	21343
599963	21825	21825
601020	22306	22306
602077	22787	22787
603134	23269	23269
604191	23750	23750
605248	24232	24232
606305	24713	24713
607362	25194	25194
608419	25676	25676
609476	26157	26157
610533	26638	26638
611590	27120	27120
612647	27601	27601
613704	28083	28083
614761	28564	28564
615818	29045	29045
616875	29527	29527
617932	30008	30008
618989	30490	30490
620046	30971	30971
621103	31452	31452
622160	31934	31934
623217	32415	32415
624274	32897	32897
625331	33378	33378
626388	33859	33859
627445	34341	34341
628502	34822	34822
629559	35303	35303
630616	35785	35785
631673	36266	36266
632730	36748	36748
633787	37229	37229
634844	37710	37710
635901	38192	38192
636958	38604	38604
638015	38656	38656
639072	38656	38656
640130	38656	38656
641187	38656	38656
642244	38656	38656
643301	38656	38656
644358	38656	38656
645415	38656	38656
646472	38656	38656
647529	38656	38656
648586	38656	38656
649643	38656	38656
650700	38656	38656
651757	38656	38656
652778	38261	38261
653806	37418	37418
654834	36559	36559
655862	35699	35699
656889	34839	34839
657917	33980	33980
658945	33120	33120
659973	32260	32260
661001	31401	31401
662029	30541	30541
663057	29682	29682
664085	28822	28822
665113	27962	27962
666141	27103	27103
667168	26243	26243
668196	25383	25383
669224	24524	24524
670252	23664	23664
671280	22805	22805
672308	21945	21945
673336	21176	21176
674382	21299	21299
675439	21780	21780
676497	22261	22261
677554	22743	22743
678611	23224	23224
679668	23705	23705
680725	24187	24187
681782	24668	24668
682839	25150	25150
683896	25631	25631
684953	26112	26112
686010	26594	26594
687067	27075	27075
688124	27557	27557
689181	28038	28038
690238	28519	28519
691295	29001	29001
692352	29482	29482
693409	29963	29963
694466	30445	30445
695523	30926	30926
696580	31408	31408
697637	31889	31889
