SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
938520	7	7
939599	8	8
940831	7	7
941895	31	31
942904	193	193
943925	121	121
944932	305	305
945932	316	316
946999	147	147
948047	368	368
949049	556	556
950057	401	401
951061	177	177
952066	342	342
953068	304	304
954115	453	453
955137	301	301
956145	399	399
957185	246	246
958191	533	533
959254	386	386
960260	484	484
961261	360	360
962267	310	310
963281	366	366
964298	272	272
965311	229	229
966316	359	359
967324	337	337
968326	476	476
969357	542	542
970394	309	309
971419	277	277
972440	397	397
973458	375	375
974478	316	316
975481	519	519
976483	372	372
977499	348	348
978502	429	429
979508	372	372
980519	388	388
981522	358	358
982550	412	412
983559	394	394
984602	514	514
985621	523	523
986639	159	159
987640	456	456
988659	454	454
989712	376	376
990785	499	499
991800	300	300
992814	469	469
993857	591	591
994861	350	350
995901	327	327
996904	348	348
997907	287	287
998913	461	461
999915	348	348
1000917	496	496
1001934	325	325
1002935	510	510
1003959	426	426
1004973	342	342
1005996	439	439
1007001	358	358
1008044	516	516
1009096	300	300
1010101	575	575
1011104	640	640
1012148	658	658
1013163	528	528
1014193	386	386
1015195	688	688
1016204	589	589
1017234	524	524
1018258	564	564
1019261	716	716
1020285	619	619
1021302	517	517
1022360	354	354
1023412	510	510
1024435	372	372
1025437	394	394
1026445	421	421
1027456	423	423
1028464	368	368
1029569	454	454
1030606	455	455
1031630	709	709
1032636	617	617
1033654	712	712
1034667	859	859
1035685	850	850
1036724	540	540
1037755	623	623
1038761	829	829
1039805	727	727
1040808	773	773
1041818	782	782
1042840	877	877
1043855	997	997
1044868	952	952
1045900	982	982
1046941	862	862
1047952	894	894
1048959	807	807
1049984	923	923
1051024	1040	1040
1052070	1329	1329
1053156	1431	1431
1054166	1092	1092
1055179	773	773
1056181	836	836
1057181	1014	1014
1058188	1126	1126
1059190	1056	1056
1060193	1221	1221
1061203	1122	1122
1062207	1443	1443
1063238	1182	1182
1064257	1610	1610
1065269	1450	1450
1066299	1564	1564
1067347	1210	1210
1068371	1323	1323
1069384	1811	1811
1070406	1544	1544
1071415	1772	1772
1072419	1737	1737
1073435	1906	1906
1074467	1762	1762
1075473	2022	2022
1076527	4254	4254
1077571	5147	5147
1078577	5011	5011
1079586	4689	4689
