SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1714	505	505
3289	2331	2331
4337	3888	3888
5613	5113	5113
6640	6199	6199
8035	7494	7494
9041	8665	8665
10380	9853	9853
11427	10978	10978
12842	12301	12301
13859	13479	13479
15243	14677	14677
16291	15842	15842
17567	17068	17068
18594	18153	18153
19989	19448	19448
20996	20619	20619
22334	21807	21807
23381	22932	22932
24796	24255	24255
25813	25433	25433
27197	26631	26631
28245	27796	27796
29522	29022	29022
30548	30107	30107
31944	31402	31402
32950	32573	32573
34288	33761	33761
35335	34886	34886
36751	36209	36209
37767	37387	37387
39152	38585	38585
40199	39750	39750
41476	40976	40976
42502	42062	42062
43898	43356	43356
44904	44527	44527
46242	45715	45715
47289	46841	46841
48705	48163	48163
49721	49341	49341
51106	50540	50540
52153	51704	51704
53430	52930	52930
54456	54016	54016
55852	55310	55310
56858	56481	56481
58196	57669	57669
59244	58795	58795
60659	60117	60117
61675	61295	61295
63060	62494	62494
64107	63658	63658
65384	64884	64884
66410	65970	65970
67806	67265	67265
68812	68436	68436
70150	69623	69623
71198	70749	70749
72613	72072	72072
73630	73250	73250
75014	74448	74448
76061	75613	75613
77338	76838	76838
78365	77924	77924
79760	79219	79219
80766	80390	80390
82105	81578	81578
83152	82703	82703
84567	84026	84026
85584	85204	85204
86968	86402	86402
88016	87567	87567
89292	88792	88792
90319	89878	89878
91714	91173	91173
92720	92344	92344
94059	93532	93532
95106	94657	94657
96521	95980	95980
97538	97158	97158
98922	98356	98356
99970	99521	99521
101247	100747	100747
102273	101832	101832
103668	103127	103127
104675	104298	104298
106013	105486	105486
107060	106611	106611
108476	107934	107934
109492	108989	109006
110877	109868	109868
111924	109559	109559
113201	109288	109288
114227	109259	109259
115623	109214	109214
116629	109314	109314
117967	109481	109481
119014	109322	109322
120430	109249	109249
121446	109331	109331
122831	109329	109329
123878	109218	109218
125155	109288	109288
126181	109259	109259
127577	109214	109214
128583	109314	109314
129921	109481	109481
130968	109322	109322
132384	109249	109249
133400	109331	109331
134785	109329	109329
135832	109218	109218
137109	109288	109288
138135	109259	109259
139531	109214	109214
140537	109314	109314
141875	109481	109481
142923	109322	109322
144338	109249	109249
145354	109331	109331
146739	109329	109329
147786	109218	109218
149063	109288	109288
150090	109259	109259
151485	109214	109214
152491	109314	109314
153829	109481	109481
154877	109322	109322
156292	109249	109249
157309	109331	109331
158693	109329	109329
159740	109218	109218
161017	109288	109288
162044	109259	109259
163439	109214	109214
164445	109314	109314
165784	109481	109481
166831	109322	109322
168246	109249	109249
169263	109331	109331
170647	109329	109329
171695	109218	109218
172971	109288	109288
173998	109259	109259
175393	109214	109214
176400	109314	109314
177738	109481	109481
178785	109322	109322
180200	109249	109249
181217	109331	109331
182601	109329	109329
183649	109218	109218
184926	109288	109288
185952	109259	109259
187347	109214	109214
188354	109314	109314
189692	109481	109481
190739	109322	109322
192155	109249	109249
193171	109331	109331
194556	109329	109329
195603	109218	109218
196880	109288	109288
197906	109259	109259
199302	109214	109214
200308	109314	109314
201646	109481	109481
202693	109322	109322
204109	109249	109249
205125	109331	109331
206510	109329	109329
207557	109218	109218
208834	109288	109288
209860	109259	109259
211256	109214	109214
212262	109314	109314
213600	109481	109481
214648	109322	109322
216063	109249	109249
217079	109331	109331
218464	109329	109329
219511	109218	109218
220788	109288	109288
221814	109259	109259
223210	109214	109214
224216	109314	109314
225554	109481	109481
226602	109322	109322
228017	109249	109249
229034	109331	109331
230418	109329	109329
231465	109218	109218
232742	109288	109288
233769	109259	109259
235164	109214	109214
236170	109314	109314
237508	109481	109481
238556	109322	109322
239971	109249	109249
240988	109331	109331
242372	109329	109329
243420	109218	109218
244696	109288	109288
245723	109259	109259
247118	109214	109214
248124	109314	109314
249463	109481	109481
250510	109322	109322
251925	109249	109249
252942	109331	109331
254326	109329	109329
255374	109218	109218
256650	109288	109288
257677	109259	109259
259072	109214	109214
260079	109314	109314
261417	109481	109481
262464	109322	109322
263880	109249	109249
264896	109331	109331
266281	109329	109329
267328	109218	109218
268605	109288	109288
269631	109259	109259
271027	109214	109214
272033	109314	109314
273371	109481	109481
274418	109322	109322
275834	109249	109249
276850	109331	109331
278235	109329	109329
279282	109218	109218
280559	109288	109288
281585	109259	109259
282981	109214	109214
283987	109314	109314
285325	109481	109481
286372	109322	109322
287788	109249	109249
288804	109331	109331
290189	109329	109329
291236	109218	109218
292513	109288	109288
293539	109259	109259
294935	109214	109214
295941	109314	109314
297279	109481	109481
298327	109322	109322
299742	109249	109249
300758	109331	109331
302143	109329	109329
303190	109218	109218
304467	109288	109288
305494	109259	109259
306889	109214	109214
307895	109314	109314
309233	109481	109481
310281	109322	109322
311696	109249	109249
312713	109331	109331
314097	109329	109329
315144	109218	109218
316421	109288	109288
317448	109259	109259
318843	109214	109214
319849	109314	109314
321188	109481	109481
322235	109322	109322
323650	109249	109249
324667	109331	109331
326051	109329	109329
327099	109218	109218
328375	109288	109288
329402	109259	109259
330797	109214	109214
331803	109314	109314
333142	109481	109481
334189	109322	109322
335604	109249	109249
336621	109331	109331
338005	109329	109329
339053	109218	109218
340330	109288	109288
341356	109259	109259
342751	109214	109214
343758	109314	109314
345096	109481	109481
346143	109322	109322
347559	109249	109249
348575	109331	109331
349960	109329	109329
351007	109218	109218
352284	109288	109288
353310	109259	109259
354706	109214	109214
355712	109314	109314
357050	109481	109481
358097	109322	109322
359513	109249	109249
360529	109331	109331
361914	109329	109329
362961	109218	109218
364238	109288	109288
365264	109259	109259
366660	109214	109214
367666	109314	109314
369004	109481	109481
370051	109322	109322
371467	109249	109249
372483	109331	109331
373868	109329	109329
374915	109218	109218
376192	109288	109288
377218	109259	109259
378614	109214	109214
379620	109314	109314
380958	109481	109481
382006	109322	109322
383421	109249	109249
384437	109331	109331
385822	109329	109329
386869	109218	109218
388146	109288	109288
389173	109259	109259
390568	109214	109214
391574	109314	109314
392912	109481	109481
393960	109322	109322
395375	109249	109249
396392	109331	109331
397776	109329	109329
398823	109218	109218
400100	109288	109288
401127	109259	109259
402522	109214	109214
403528	109314	109314
404867	109481	109481
405914	109322	109322
407329	109249	109249
408346	109331	109331
409730	109329	109329
410778	109218	109218
412054	109288	109288
413081	109259	109259
414476	109214	109214
415483	109314	109314
416821	109481	109481
417868	109322	109322
419283	109249	109249
420300	109331	109331
421684	109329	109329
422732	109218	109218
424009	109288	109288
425035	109259	109259
426431	109214	109214
427437	109314	109314
428775	109481	109481
429822	109322	109322
431238	109249	109249
432254	109331	109331
433639	109329	109329
434686	109218	109218
435963	109288	109288
436989	109259	109259
438385	109214	109214
439391	109314	109314
440729	109481	109481
441776	109322	109322
443192	109249	109249
444208	109331	109331
445593	109329	109329
446640	109218	109218
447917	109288	109288
448943	109259	109259
450339	109214	109214
451345	109314	109314
452683	109481	109481
453731	109322	109322
455146	109249	109249
456162	109331	109331
457547	109329	109329
458594	109218	109218
459871	109288	109288
460897	109259	109259
462293	109214	109214
463299	109314	109314
464637	109481	109481
465685	109322	109322
467100	109249	109249
468117	109331	109331
469501	109329	109329
470548	109218	109218
471825	109288	109288
472852	109259	109259
474247	109214	109214
475253	109314	109314
476591	109481	109481
477639	109322	109322
479054	109249	109249
480071	109331	109331
481455	109329	109329
482503	109218	109218
483779	109288	109288
484806	109259	109259
486201	109214	109214
487207	109314	109314
488546	109481	109481
489593	109322	109322
491008	109249	109249
492025	109331	109331
493409	109329	109329
494457	109218	109218
495734	109288	109288
496760	109259	109259
498155	109214	109214
499162	109314	109314
500500	109481	109481
501547	109322	109322
502963	109249	109249
503979	109331	109331
505364	109329	109329
506411	109218	109218
507688	109288	109288
508714	109259	109259
510110	109214	109214
511116	109314	109314
512454	109481	109481
513501	109322	109322
514917	109249	109249
515933	109331	109331
517318	109329	109329
518365	109218	109218
519642	109288	109288
520668	109259	109259
522064	109214	109214
523070	109314	109314
524408	109481	109481
525455	109322	109322
526871	109249	109249
527887	109331	109331
529272	109329	109329
530319	109218	109218
531596	109288	109288
532622	109259	109259
534018	109214	109214
535024	109314	109314
536362	109481	109481
537410	109322	109322
538825	109249	109249
539841	109331	109331
541226	109329	109329
542273	109218	109218
543550	109288	109288
544577	109259	109259
545972	109214	109214
546978	109314	109314
548316	109481	109481
549364	109322	109322
550779	109249	109249
551796	109331	109331
553180	109329	109329
554227	109218	109218
555504	109288	109288
556531	109259	109259
557926	109214	109214
558932	109314	109314
560271	109481	109481
561318	109322	109322
562733	109249	109249
563750	109331	109331
565134	109329	109329
566182	109218	109218
567458	109288	109288
568485	109259	109259
569880	109214	109214
570886	109314	109314
572225	109481	109481
573272	109322	109322
574687	109249	109249
575704	109331	109331
577088	109329	109329
578136	109218	109218
579413	109288	109288
580439	109259	109259
581834	109214	109214
582841	109314	109314
584179	109481	109481
585226	109322	109322
586642	109249	109249
587658	109331	109331
589043	109329	109329
590090	109218	109218
591367	109288	109288
592393	109259	109259
593789	109214	109214
594795	109314	109314
596133	109481	109481
597180	109322	109322
598596	109249	109249
599612	109331	109331
600997	109329	109329
602044	109218	109218
603321	109288	109288
604347	109259	109259
605743	109214	109214
606749	109314	109314
608087	109481	109481
609134	109322	109322
610550	109249	109249
611566	109331	109331
612951	109329	109329
613998	109218	109218
615275	109288	109288
616301	109259	109259
617697	109214	109214
618703	109314	109314
620041	109481	109481
621089	109322	109322
622504	109249	109249
623521	109331	109331
624905	109329	109329
625952	109218	109218
627229	109288	109288
628256	109259	109259
629651	109214	109214
630657	109314	109314
631995	109481	109481
633043	109322	109322
634458	109249	109249
635475	109331	109331
636859	109329	109329
637907	109218	109218
639183	109288	109288
640210	109259	109259
641605	109214	109214
642611	109314	109314
643950	109481	109481
644997	109322	109322
646412	109249	109249
647429	109331	109331
648813	109329	109329
649861	109218	109218
651137	109288	109288
652164	109259	109259
653559	109214	109214
654566	109314	109314
655904	109481	109481
656951	109322	109322
658366	109249	109249
659383	109331	109331
660767	109329	109329
661815	109218	109218
663092	109288	109288
664118	109259	109259
665514	109214	109214
666520	109314	109314
667858	109481	109481
668905	109322	109322
670321	109249	109249
671337	109331	109331
672722	109329	109329
673769	109218	109218
675046	109288	109288
676072	109259	109259
677468	109214	109214
678474	109314	109314
679812	109481	109481
680859	109322	109322
682275	109249	109249
683291	109331	109331
684676	109329	109329
685723	109218	109218
687000	109288	109288
688026	109259	109259
689422	109214	109214
690428	109314	109314
691766	109481	109481
692814	109322	109322
694229	109249	109249
695245	109331	109331
696630	109329	109329
697677	109218	109218
698954	109288	109288
699980	109259	109259
701376	109214	109214
702382	109314	109314
703720	109481	109481
704768	109322	109322
706183	109249	109249
707200	109331	109331
708584	109329	109329
709631	109218	109218
710908	109288	109288
711935	109259	109259
713330	109214	109214
714336	109314	109314
715675	109481	109481
716722	109322	109322
718137	109249	109249
719154	109331	109331
720538	109329	109329
721586	109218	109218
722862	109288	109288
723889	109259	109259
725284	109214	109214
726290	109314	109314
727629	109481	109481
728676	109322	109322
730091	109249	109249
731108	109331	109331
732492	109329	109329
733540	109218	109218
734817	109288	109288
735843	109259	109259
737238	109214	109214
738245	109314	109314
739583	109481	109481
740630	109322	109322
742046	109249	109249
743062	109331	109331
744447	109329	109329
745494	109218	109218
746771	109288	109288
747797	109259	109259
749193	109214	109214
750199	109314	109314
751537	109481	109481
752584	109322	109322
754000	109249	109249
755016	109331	109331
756401	109329	109329
757448	109218	109218
758725	109288	109288
759751	109259	109259
761147	109214	109214
762153	109314	109314
763491	109481	109481
764538	109322	109322
765954	109249	109249
766970	109331	109331
768355	109329	109329
769402	109218	109218
770679	109288	109288
771705	109259	109259
773101	109214	109214
774107	109314	109314
775445	109481	109481
776493	109322	109322
777908	109249	109249
778924	109331	109331
780309	109329	109329
781356	109218	109218
782633	109288	109288
783660	109259	109259
785055	109214	109214
786061	109314	109314
787399	109481	109481
788447	109322	109322
789862	109249	109249
790879	109331	109331
792263	109329	109329
793310	109218	109218
794587	109288	109288
795614	109259	109259
797009	109214	109214
798015	109314	109314
799354	109481	109481
800401	109322	109322
801816	109249	109249
802833	109331	109331
804217	109329	109329
805265	109218	109218
806541	109288	109288
807568	109259	109259
808963	109214	109214
809970	109314	109314
