SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
938520	7	7
939599	8	8
940831	7	7
941895	54	54
942903	231	231
943969	182	182
944995	351	351
946000	297	297
947007	562	562
948015	778	778
949018	796	796
950028	1321	1321
951081	1397	1397
952125	901	901
953178	910	910
954222	1180	1180
955261	1358	1358
956269	1478	1478
957279	1483	1483
958304	1335	1335
959316	1577	1577
960318	2338	2338
961348	1280	1280
962375	1962	1962
963415	1740	1740
964452	2625	2625
965479	2625	2625
966545	2342	2342
967570	2198	2198
968581	2107	2107
969593	3087	3087
970650	2675	2675
971676	4275	4275
972694	2467	2467
973696	4433	4433
974703	3011	3011
975719	3591	3591
976720	4304	4304
977770	2225	2225
978808	4986	4986
979818	4225	4225
980828	2816	2816
981849	2373	2373
982851	3903	3903
983854	3188	3188
984883	3978	3978
985914	6585	6585
986941	5651	5651
987953	6256	6256
989018	6120	6120
990044	6789	6789
991047	6567	6567
992110	5120	5120
993133	15861	15861
994205	11704	11704
995237	9126	9126
996260	6871	6871
997352	6647	6647
998357	18154	18154
999392	16185	16185
1000415	9600	9600
1001444	17097	17097
1002472	16483	16483
1003526	17887	17887
1004529	23538	23538
1005546	16253	16253
1006565	14223	14223
1007613	19411	19411
1008638	17843	17843
1009703	17979	17979
1010710	18093	18093
1011736	19962	19962
1012790	21153	21153
1013822	23114	23114
1014863	17279	17279
1015899	16851	16851
1016938	22792	22792
1017964	24506	24506
1019003	23734	23734
1020053	21858	21858
1021099	26384	26384
1022120	24347	24347
1023134	26092	26092
1024152	22978	22978
1025157	25781	25781
1026175	24087	24087
1027194	35664	35664
1028309	34903	34946
1029309	33044	33317
1030323	29972	30499
1031427	32841	33474
1032474	29017	30047
1033536	29113	30464
1034574	29511	31259
1035582	26684	28882
1036627	27377	29520
1037836	32752	34577
1038844	42040	43277
1039871	36722	38889
1040878	34768	37459
1041910	27089	31316
1042943	28597	32955
1043949	28362	33328
1044962	30944	35669
1045979	37881	41453
1046995	34716	39270
1048039	37083	41537
1049059	42584	46063
1050060	35079	40843
1051094	30762	38000
1052126	32962	40010
1053194	29231	38180
1054210	32163	40738
1055237	37790	44789
1056266	32871	41732
1057313	32091	41574
1058361	30867	41068
1059430	41408	48514
1060477	41614	49284
1061503	41739	49674
1062603	29638	42432
1063641	41719	50290
1064764	32416	44919
1065788	50461	56425
1066813	36461	48162
1067871	38337	49764
1068921	40572	51452
1069931	38755	50991
1070936	37175	50525
1072052	39125	51857
1073075	54710	60949
1074078	36927	51635
1075135	45810	56974
1076180	44270	56423
1077210	36064	52556
1078235	35327	52652
1079304	49298	60347
1080340	49654	60757
1081499	43482	57943
1082509	43374	58499
1083560	32695	53680
1084564	29876	52660
1085599	34441	55447
1086599	65732	71754
1087621	46265	62802
1088693	41451	61038
1089703	40805	61258
1090721	33543	58112
1091757	41030	61881
1092784	37537	60850
1093838	34702	60206
1094947	40980	63858
1095999	51672	69506
1097004	45983	67451
1098167	53933	71574
1099179	53990	72098
1100183	43564	67767
1101245	47266	70069
1102278	44692	69456
1103299	24661	60493
1104314	42740	69373
1105323	49189	72917
1106326	44927	71305
1107356	39079	69115
1108376	38256	69332
1109417	40056	70703
1110421	37578	69978
1111473	49411	76077
1112524	67328	85103
1113562	45377	75482
1114575	51563	79053
1115643	49200	78388
1116672	35880	72465
1117727	34028	71943
1118744	31062	71076
1119769	33450	72691
1120786	39123	76042
1121811	40928	77408
1122813	47647	81193
1123976	52896	84270
1125031	43714	80321
1126065	50549	84226
1127091	47441	83357
1128091	39956	80450
1129101	38171	80203
1130113	33520	78281
1131161	29750	76886
1132193	41377	82989
1133199	56116	90734
1134255	44013	85671
1135302	44206	86435
1136318	57457	93206
1137352	48084	89430
1138392	42371	87304
1139433	39666	86595
1140529	41647	88106
1141556	36519	86166
1142565	37725	87254
1143585	41531	89644
1144615	35768	87418
1145647	38626	89331
1146740	57457	98763
1147763	40145	91454
1148792	50889	97108
1149852	38255	91849
1150866	51141	98403
1151880	47473	97199
1152889	41753	95086
1153948	45099	97060
1154980	39682	95141
1156002	32973	92623
1157055	51251	101781
1158086	35389	94993
1159129	39497	97620
1160204	31913	94728
1161229	29755	94289
1162249	50415	104024
1163285	44055	101741
1164289	43801	102266
1165315	50698	105844
1166334	41609	102458
1167406	43318	103756
1168437	44299	104820
1169476	40737	104006
1170569	34287	101693
1171587	44700	106928
1172930	60859	114599
1174488	74370	120799
1175512	75824	122012
1176792	75029	122403
1177837	75143	123003
1179120	75699	123809
1180143	75962	124611
1181391	75706	125215
1182406	75295	125737
1183721	74723	125901
1184727	74351	126159
1186004	74616	126905
1187024	74168	127854
1188258	73802	128502
1189311	73804	129188
1190566	73826	129930
1191619	74034	130509
1192878	74234	131021
1193913	74537	131670
1195143	74419	132230
1196165	73263	132305
1197444	72491	132714
1198481	72411	133624
1199741	72597	134543
1200772	72566	135021
1202049	72638	135538
1203071	72904	136312
1204301	73068	136907
1205362	72663	137391
1206611	72107	137986
1207661	71534	138508
1208896	69612	138400
1209968	68882	138726
1211179	69379	139609
1212193	69552	140285
1213466	69744	141096
1214552	70188	142065
1215771	70361	142671
1216850	69661	143040
1218078	68818	143532
1219154	68582	144041
