SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
938520	7	7
939599	8	8
940831	7	7
941895	30	30
942904	173	173
943904	66	66
944906	196	196
945913	201	201
946926	107	107
947940	264	264
948949	309	309
950019	122	122
951030	33	33
952074	276	276
953077	272	272
954125	332	332
955129	137	137
956140	211	211
957146	121	121
958164	336	336
959178	224	224
960212	260	260
961215	194	194
962217	213	213
963281	339	339
964298	152	152
965299	250	250
966316	283	283
967329	244	244
968337	347	347
969356	310	310
970394	105	105
971421	166	166
972435	192	192
973458	225	225
974462	212	212
975501	370	370
976520	154	154
977532	197	197
978532	137	137
979549	232	232
980556	190	190
981558	250	250
982572	277	277
983585	219	219
984634	337	337
985636	263	263
986656	49	49
987673	298	298
988681	283	283
989706	168	168
990785	264	264
991810	128	128
992822	313	313
993867	281	281
994922	152	152
995936	225	225
996943	179	179
998002	207	207
999007	221	221
1000015	229	229
1001042	328	328
1002048	172	172
1003065	277	277
1004072	108	108
1005095	208	208
1006102	198	198
1007114	185	185
1008117	249	249
1009141	109	109
1010153	229	229
1011212	365	365
1012231	320	320
1013251	257	257
1014260	104	104
1015261	328	328
1016262	144	144
1017307	274	274
1018337	191	191
1019356	339	339
1020396	149	149
1021404	266	266
1022448	132	132
1023477	265	265
1024480	119	119
1025482	228	228
1026503	269	269
1027503	256	256
1028528	156	156
1029535	249	249
1030538	126	126
1031543	247	247
1032548	245	245
1033571	213	213
1034596	379	379
1035635	309	309
1036640	110	110
1037653	190	190
1038715	371	371
1039715	236	236
1040719	272	272
1041732	255	255
1042746	192	192
1043756	309	309
1044767	155	155
1045800	207	207
1046813	169	169
1047824	301	301
1048874	122	122
1049916	262	262
1050919	389	389
1051922	207	207
1052932	219	219
1053957	135	135
1054991	186	186
1056010	248	248
1057019	258	258
1058020	314	314
1059024	181	181
1060025	265	265
1061031	280	280
1062064	225	225
1063066	350	350
1064067	255	255
1065096	167	167
1066131	256	256
1067151	313	313
1068161	287	287
1069189	302	302
1070209	277	277
1071224	143	143
1072241	241	241
1073246	301	301
1074256	255	255
1075267	206	206
