SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1057	623	623
2118	1619	1619
3154	2645	2645
4191	3699	3699
5255	4754	4754
6340	5812	5812
7377	6868	6868
8414	7921	7921
9477	8976	8976
10563	10034	10034
11600	11090	11090
12636	12144	12144
13700	13199	13199
14786	14257	14257
15822	15313	15313
16859	16366	16366
17922	17421	17421
19008	18479	18479
20045	19536	19536
21081	20589	20589
22145	21644	21644
23231	22702	22702
24267	23758	23758
25304	24812	24812
26368	25867	25867
27453	26924	26924
28490	27981	27981
29527	29034	29034
30590	29888	29897
31676	30046	30046
32713	30029	30029
33749	30033	30033
34813	30053	30053
35898	30034	30034
36935	30001	30001
37972	30006	30006
39035	30024	30024
40121	30034	30034
41158	30029	30029
42194	30033	30033
43258	30053	30053
44344	30034	30034
45380	30001	30001
46417	30006	30006
47480	30024	30024
48566	30034	30034
49603	30029	30029
50640	30033	30033
51703	30053	30053
52789	30034	30034
53825	30001	30001
54862	30006	30006
55926	30024	30024
57011	30034	30034
58048	30029	30029
59085	30033	30033
60148	30053	30053
61234	30034	30034
62271	30001	30001
63307	30006	30006
64371	30024	30024
65457	30034	30034
66493	30029	30029
67530	30033	30033
68593	30053	30053
69679	30034	30034
70716	30001	30001
71752	30006	30006
72816	30024	30024
73902	30034	30034
74938	30029	30029
75975	30033	30033
77039	30053	30053
78124	30034	30034
79161	30001	30001
80198	30006	30006
81261	30024	30024
82347	30034	30034
83384	30029	30029
84420	30033	30033
85484	30053	30053
86569	30034	30034
87606	30001	30001
88643	30006	30006
89706	30024	30024
90792	30034	30034
91829	30029	30029
92865	30033	30033
93929	30053	30053
95015	30034	30034
96051	30001	30001
97088	30006	30006
98151	30024	30024
99237	30034	30034
100274	30029	30029
101311	30033	30033
102374	30053	30053
103460	30034	30034
104496	30001	30001
105533	30006	30006
106597	30024	30024
107682	30034	30034
108719	30029	30029
109756	30033	30033
110819	30053	30053
111905	30034	30034
112942	30001	30001
113978	30006	30006
115042	30024	30024
116128	30034	30034
117164	30029	30029
118201	30033	30033
119264	30053	30053
120350	30034	30034
121387	30001	30001
122423	30006	30006
123487	30024	30024
124573	30034	30034
125609	30029	30029
126646	30033	30033
127710	30053	30053
128795	30034	30034
129832	30001	30001
