SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1000	387	387
2001	1158	1158
3004	1343	1343
4009	1227	1227
5010	1036	1036
6019	1129	1129
7024	1424	1424
8036	1861	1861
9038	2302	2302
10067	3080	3080
11075	2740	2740
12076	2557	2557
13077	2466	2466
14079	3113	3113
15082	3967	3967
16086	3558	3558
17092	3386	3386
18110	4471	4471
19113	3544	3544
20129	3848	3848
21134	3756	3756
22143	4142	4142
23149	4715	4715
24149	4648	4648
25150	4484	4484
26160	3580	3580
27162	4271	4271
28162	4292	4292
29183	4896	4896
30200	4607	4607
31203	3658	3658
32206	4216	4216
33213	4370	4370
34238	4313	4313
35251	5130	5130
36252	3430	3430
37261	4213	4213
38275	4238	4238
39289	4828	4828
40298	4091	4091
41299	4376	4376
42302	4906	4906
43304	4436	4436
44305	4615	4615
45316	3671	3671
46318	4205	4205
47319	3966	3966
48330	3293	3293
49339	4083	4083
50340	4035	4035
51341	4639	4639
52351	4312	4312
53367	4457	4457
54385	4319	4319
55386	4437	4437
56391	4653	4653
57393	4538	4538
58393	5215	5215
59405	4850	4850
60436	4857	4857
61439	4786	4786
62453	5659	5659
63454	4529	4529
64463	4089	4089
65472	5086	5086
66479	4564	4564
67484	4626	4626
68497	3917	3917
69497	4788	4788
70507	4927	4927
71507	4896	4896
72511	5002	5002
73513	4777	4777
74530	4694	4694
75544	4122	4122
76548	4805	4805
77551	4731	4731
78563	4405	4405
79565	4358	4358
80584	4611	4611
81589	4526	4526
82597	3775	3775
83630	4021	4021
84635	5074	5074
85636	4935	4935
86641	4379	4379
87653	6196	6196
88680	4308	4308
89693	5580	5580
90694	4882	4882
91708	5716	5716
92708	4247	4247
93709	5335	5335
94721	4216	4216
95723	4478	4478
96723	5095	5095
97743	4415	4415
98749	4596	4596
99768	4495	4495
100771	4922	4922
101776	5115	5115
102781	4384	4384
103785	4819	4819
104785	3863	3863
105799	4340	4340
106811	4179	4179
107812	4742	4742
108813	4164	4164
109835	4677	4677
110853	5264	5264
111859	5309	5309
112876	6953	6953
113889	5117	5117
114906	3844	3844
115911	4738	4738
116914	4316	4316
117919	4494	4494
118952	3725	3725
119963	4880	4880
120984	4570	4570
121986	5060	5060
122992	4911	4911
124005	5187	5187
125006	4797	4797
126007	5122	5122
127008	4612	4612
128008	4906	4906
129013	4784	4784
130032	4465	4465
131045	5485	5485
132045	4575	4575
133046	5325	5325
134048	4231	4231
135048	4673	4673
136067	5033	5033
137068	4535	4535
138090	5644	5644
139112	4835	4835
140143	5016	5016
141147	5020	5020
142149	3856	3856
143151	5593	5593
144161	5135	5135
145164	4800	4800
146165	4971	4971
147184	4524	4524
148189	5222	5222
149192	5606	5606
150198	3969	3969
151211	4595	4595
152217	3847	3847
153218	4558	4558
154227	4462	4462
155243	4529	4529
156264	3775	3775
157275	4613	4613
158282	4030	4030
159282	3935	3935
160283	5032	5032
161297	5060	5060
162329	5714	5714
163333	4340	4340
164334	4355	4355
165337	4186	4186
166337	4286	4286
167348	4401	4401
168349	4784	4784
169356	5201	5201
170364	5092	5092
171370	5023	5023
172376	4932	4932
173390	4021	4021
174399	4935	4935
175403	4563	4563
176410	4280	4280
177416	4309	4309
178429	4490	4490
179431	4714	4714
180449	5775	5775
181457	4310	4310
182468	4646	4646
183477	5673	5673
184478	5485	5485
185488	5034	5034
186491	4913	4913
187494	5078	5078
188496	4288	4288
189497	4555	4555
190508	4767	4767
191508	4429	4429
192541	4448	4448
193559	5478	5478
194567	5872	5872
195587	4376	4376
196588	4614	4614
197592	4954	4954
198593	4400	4400
199613	4748	4748
200623	4392	4392
201626	5057	5057
202637	4798	4798
203640	4901	4901
204640	4206	4206
205640	5054	5054
206664	4008	4008
207667	4494	4494
208677	4371	4371
209699	4815	4815
210709	5084	5084
211715	5340	5340
212725	4583	4583
213725	4617	4617
214726	4989	4989
215733	5002	5002
216758	4956	4956
217765	5174	5174
218769	4715	4715
219778	5192	5192
220784	4988	4988
