SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1009	352	352
2014	1382	1382
3014	1878	1878
4017	2018	2018
5020	1932	1932
6031	1649	1649
7036	1440	1440
8037	1638	1638
9044	1595	1595
10047	1911	1911
11068	2747	2747
12080	3070	3070
13085	3729	3729
14086	2900	2900
15091	2917	2917
16095	3401	3401
17095	3603	3603
18107	3519	3519
19107	3809	3809
20110	3940	3940
21112	4447	4447
22122	3499	3499
23159	3871	3871
24166	4391	4391
25173	4247	4247
26187	4515	4515
27190	3945	3945
28201	5051	5051
29203	3689	3689
30205	4298	4298
31208	4810	4810
32218	5216	5216
33226	5658	5658
34230	3644	3644
35230	4523	4523
36234	4180	4180
37235	4677	4677
38260	4614	4614
39260	4358	4358
40265	3795	3795
41266	4090	4090
42278	4577	4577
43309	4372	4372
44310	4672	4672
45315	4155	4155
46315	5175	5175
47316	4952	4952
48323	4407	4407
49328	4157	4157
50355	4606	4606
51377	4025	4025
52378	3580	3580
53378	3802	3802
54385	3812	3812
55385	4812	4812
56385	5296	5296
57406	4268	4268
58417	3578	3578
59443	4884	4884
60456	4942	4942
61475	4576	4576
62481	5640	5640
63493	4491	4491
64495	5581	5581
65500	4752	4752
66501	4854	4854
67505	4754	4754
68505	4847	4847
69516	4818	4818
70539	4716	4716
71542	4926	4926
72565	3903	3903
73566	4830	4830
74569	4853	4853
75570	5071	5071
76572	4625	4625
77578	4822	4822
78585	4827	4827
79610	4390	4390
80617	4578	4578
81658	4730	4730
82682	4881	4881
83685	5035	5035
84691	4647	4647
85696	4586	4586
86696	3188	3188
87701	5304	5304
88712	4444	4444
89725	4847	4847
90734	4935	4935
91741	4981	4981
92747	5370	5370
93760	4486	4486
94765	5165	5165
95773	5939	5939
96777	4810	4810
97789	4988	4988
98790	4997	4997
99800	4308	4308
100802	4365	4365
101814	5652	5652
102839	4420	4420
103839	4855	4855
104845	4755	4755
105846	4927	4927
106853	4187	4187
107856	4762	4762
108860	4119	4119
109866	4596	4596
110866	4332	4332
111869	4377	4377
112883	4555	4555
113885	4254	4254
114885	5066	5066
115892	5253	5253
116901	6421	6421
117915	6731	6731
118924	4836	4836
119931	4713	4713
120937	3932	3932
121938	4609	4609
122942	4538	4538
123946	3827	3827
124961	5445	5445
125987	4231	4231
126994	4444	4444
128001	5450	5450
129014	5233	5233
130019	5328	5328
131050	4437	4437
132055	5164	5164
133064	5449	5449
134071	4534	4534
135071	5319	5319
136092	5387	5387
137093	4215	4215
138093	5663	5663
139106	5020	5020
140106	4986	4986
141119	3930	3930
142119	4930	4930
143120	5584	5584
144131	5258	5258
145134	4704	4704
146162	4822	4822
147166	4909	4909
148172	5634	5634
149210	4253	4253
150235	5235	5235
151250	5386	5386
152251	5306	5306
153261	4338	4338
154274	4382	4382
155275	5998	5998
156275	4919	4919
157275	4251	4251
158276	4130	4130
159277	4896	4896
160284	3771	3771
161303	4886	4886
162314	4516	4516
163315	4428	4428
164323	4286	4286
165325	3557	3557
166353	5875	5875
167389	5291	5291
168390	5915	5915
169392	5181	5181
170419	3502	3502
171426	4836	4836
172427	4677	4677
173441	4427	4427
174441	4728	4728
175467	5014	5014
176469	4695	4695
177491	4769	4769
178518	5459	5459
179519	4534	4534
180531	4145	4145
181532	4490	4490
182542	4749	4749
183556	4836	4836
184557	4080	4080
185558	4598	4598
186559	5691	5691
187583	5152	5152
188606	4802	4802
189606	5164	5164
190622	5477	5477
191658	5859	5859
192660	5034	5034
193682	4955	4955
194684	4340	4340
195685	4358	4358
196686	4986	4986
197708	4808	4808
198712	4546	4546
199721	5017	5017
200735	5696	5696
201736	4224	4224
202736	4880	4880
203773	5301	5301
204779	5336	5336
205786	4877	4877
206798	4543	4543
207814	5036	5036
208816	4398	4398
209825	4975	4975
210825	4877	4877
211827	3895	3895
212845	4512	4512
213865	4589	4589
214888	4819	4819
215902	4586	4586
216943	4530	4530
217951	6241	6241
218959	4628	4628
219964	4531	4531
220979	4924	4924
221986	4320	4320
223003	5871	5871
224011	5736	5736
225015	5282	5282
226028	4495	4495
227028	5543	5543
228036	5446	5446
229038	5664	5664
230050	6591	6591
231067	4380	4380
232080	4511	4511
233081	4374	4374
234081	5141	5141
235082	4057	4057
236088	4956	4956
237093	4915	4915
238102	4913	4913
239127	4813	4813
240139	4985	4985
241146	4778	4778
242164	4985	4985
243178	3994	3994
244186	4303	4303
245186	4997	4997
246216	3931	3931
247216	4416	4416
248222	4378	4378
249223	4524	4524
250233	4646	4646
251236	4409	4409
252236	4046	4046
253245	5385	5385
254250	4672	4672
255261	5212	5212
256262	4521	4521
257287	4513	4513
258337	4410	4410
259337	4498	4498
260375	4054	4054
261383	4213	4213
262385	4680	4680
263400	4956	4956
264414	6233	6233
265424	4871	4871
266427	4503	4503
267438	6060	6060
268442	5160	5160
269458	4416	4416
270479	4780	4780
271504	5361	5361
272504	4822	4822
273516	4696	4696
274524	5062	5062
275544	5058	5058
276544	4383	4383
277556	5119	5119
278569	5145	5145
279570	5503	5503
