SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1110	754	754
2598	1961	1961
3630	3160	3160
4830	4392	4392
6070	5632	5632
7558	6921	6921
8590	8120	8120
9790	9352	9352
11030	10591	10591
12518	11881	11881
13550	13079	13079
14750	14311	14311
15990	15551	15551
17478	16841	16841
18510	18039	18039
19710	19271	19271
20950	20511	20511
22438	21801	21801
23469	22999	22999
24669	24231	24231
25909	25471	25471
27397	26761	26761
28429	27959	27959
29629	29191	29191
30869	30431	30431
32357	31720	31720
33389	32919	32919
34589	34151	34151
35829	35391	35391
37317	36680	36680
38349	37879	37879
39549	39111	39111
40789	40351	40351
42277	41640	41640
43309	42838	42838
44509	44070	44070
45749	45310	45310
47237	46600	46600
48269	47798	47798
49469	49030	49030
50709	50270	50270
52197	51560	51560
53228	52758	52758
54428	53990	53990
55668	55230	55230
57156	56520	56520
58188	57718	57718
59388	58950	58950
60628	60190	60190
62116	61479	61479
63148	62678	62678
64348	63910	63910
65588	65150	65150
67076	66439	66439
68108	67638	67638
69308	68870	68870
70548	70110	70110
72036	71399	71399
73068	72597	72597
74268	73829	73829
75508	75069	75069
76996	76359	76359
78028	77557	77557
79228	78789	78789
80468	80029	80029
81956	81319	81319
82987	82517	82517
84188	83749	83749
85427	84989	84989
86915	86279	86279
87947	87477	87477
89147	88709	88709
90387	89949	89949
91875	91238	91238
92907	92437	92437
94107	93669	93669
95347	94909	94909
96835	96198	96198
97867	97397	97397
99067	98629	98629
100307	99869	99869
101795	101158	101158
102827	102357	102357
104027	103588	103588
105267	104828	104828
106755	106118	106118
107787	107316	107316
108987	108548	108548
110227	109788	109788
111715	111078	111078
112747	112276	112276
113947	113508	113508
115187	114748	114748
116674	116038	116038
117706	117236	117236
118906	118468	118468
120146	119708	119708
121634	120998	120998
122666	122196	122196
123866	123428	123428
125106	124668	124668
126594	125957	125957
127877	126538	126589
128919	126037	126037
129960	125571	125571
131002	125144	125144
132044	124679	124679
133086	124252	124252
134127	123786	123786
135169	123359	123359
136211	122894	122894
137252	122467	122467
138294	122001	122001
139336	121574	121574
140377	121109	121109
141419	120681	120681
142461	120216	120216
143502	119789	119789
144544	119324	119324
145586	118896	118896
146627	118431	118431
147669	118004	118004
148711	117538	117538
149752	117111	117111
150794	116646	116646
151836	116219	116219
152878	115753	115753
153919	115326	115326
154961	114861	114861
156003	114434	114434
157044	113968	113968
158086	113541	113541
159128	113076	113076
160169	112649	112649
